,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Clinton St & Roosevelt Rd,17,5,4,0,1,3,11,10,22,29,27,36,39,75,54,64,52,64,80,52,44,28,34,27
Clinton St & Tilden St,11,2,1,5,0,1,5,34,10,16,14,23,29,16,19,22,46,67,33,24,11,6,7,6
Clinton St & Washington Blvd,7,0,0,4,0,1,146,174,234,128,64,66,111,66,72,122,313,478,217,108,30,27,21,16
Clybourn Ave & Division St,5,9,3,6,0,6,26,39,60,27,17,29,36,40,38,51,55,70,62,50,26,26,30,15
Colfax Ave & 83rd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Dr & Randolph St,39,3,8,5,1,15,31,89,161,92,84,99,109,108,106,110,158,179,185,104,67,70,32,15
Commercial Ave & 130th St,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,2,0,2,1,3,1,0,0,0
Commercial Ave & 83rd St,0,0,2,0,0,0,0,0,1,2,0,3,4,1,1,1,0,2,4,4,7,0,0,0
Constance Ave & 95th St,3,3,0,1,0,0,1,1,0,0,1,1,1,1,1,0,2,0,1,3,1,2,1,0
Cornell Ave & Hyde Park Blvd,4,0,4,1,1,3,33,22,79,66,69,55,52,50,42,47,61,99,76,65,27,20,22,6
Cornell Dr & Hayes Dr,1,1,1,1,0,0,0,0,2,2,1,0,4,1,4,3,9,8,7,8,5,0,1,0
Cottage Grove & 86th St,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cottage Grove Ave & 111th Pl,0,1,0,0,0,1,0,0,1,0,2,1,2,8,2,0,3,3,3,0,1,0,1,0
Cottage Grove Ave & 111th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cottage Grove Ave & 43rd St,2,0,0,0,0,2,4,10,2,6,1,4,7,13,8,9,25,9,9,7,1,1,3,2
Cottage Grove Ave & 47th St,0,0,1,0,2,0,8,2,2,2,4,11,13,5,16,11,15,8,8,19,8,3,5,0
Cottage Grove Ave & 67th St,0,1,0,0,0,0,0,0,1,8,0,3,0,2,6,5,1,1,1,1,1,0,2,0
Cottage Grove Ave & 71st St,1,0,0,1,1,0,2,0,1,6,0,4,4,2,0,2,6,3,6,5,2,1,2,0
Cottage Grove Ave & 78th St,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,5,0,0,0,0,0,0,1
Cottage Grove Ave & 83rd St,1,0,0,0,0,0,0,0,3,0,3,1,4,5,3,11,0,1,0,0,2,2,2,0
Cottage Grove Ave & 98th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Cottage Grove Ave & Oakwood Blvd,0,0,0,0,0,0,1,1,5,5,9,3,8,5,5,11,17,16,15,3,4,4,1,0
Daley Center Plaza,10,8,3,1,5,5,27,52,43,45,42,77,86,85,95,155,230,222,135,74,58,30,27,24
Damen Ave & 47th St,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
Damen Ave & 59th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,6,0
Damen Ave & 74th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,2,0,1,1,1,0
Damen Ave & Clybourn Ave,6,1,0,2,0,10,3,11,28,19,20,39,32,24,38,25,49,43,48,36,20,8,8,12
Damen Ave & Grand Ave,2,0,2,0,0,6,22,41,49,24,22,41,26,26,24,42,56,44,42,42,22,10,9,17
Dearborn St & Van Buren St,14,9,8,3,5,14,8,28,44,23,46,34,49,55,24,48,46,105,85,62,26,19,31,15
Dodge Ave & Main St,0,0,0,0,0,0,0,1,2,0,1,5,1,3,7,6,5,6,2,2,3,1,0,1
