,latitude,longitude
S Aberdeen St & W 106th St,41.701217,-87.649345
Evans Ave & 75th St,41.75849,-87.60641
Clinton St & Madison St,41.882242,-87.641066
Kilbourn Ave & Irving Park Rd,41.953733,-87.740569
Michigan Ave & 8th St,41.872773,-87.623981
Halsted St & Clybourn Ave,41.909668,-87.648128
Cottage Grove Ave & 78th St,41.753174,-87.605026
W 103rd St & S Avers Ave,41.705846,-87.717074
W Washington Blvd & N Peoria St,41.883043,-87.649931
Wood St & 103rd St,41.706498,-87.667091
Calumet Ave & 33rd St,41.8349,-87.61793
DuSable Lake Shore Dr & Monroe St,41.880958,-87.616743
Dodge Ave & Mulford St,42.023463,-87.699595
Malcolm X College Vaccination Site,41.877618,-87.673895
Evanston Civic Center,42.057044,-87.686554
DuSable Lake Shore Dr & Diversey Pkwy,41.932588,-87.636427
Lockwood Ave & Wrightwood Ave,41.9278148,-87.7583757
Maplewood Ave & 59th St,41.7863375,-87.6874351
Pulaski Rd & 21st St,41.853452,-87.724541
Aberdeen St & Randolph St,41.884114,-87.654264
Central Ave & Roscoe St,41.942258,-87.7669331
Sayre & Diversey,41.9310084,-87.8010646
Plainfield & Irving Park,41.952037,-87.833283
Daley Center Plaza,41.884241,-87.629634
St Louis Ave & 59th St,41.785987,-87.7105616
Racine Ave & 18th St,41.858166,-87.656495
Tripp Ave & 65th St,41.7749163,-87.728841
Kedzie Ave & 52nd St,41.7990641,-87.703446
Menard Ave & Division St,41.902269,-87.7704807
Wabash Ave & 9th St,41.870769,-87.625734
Oak Park & Wellington,41.934586,-87.7959613
Clinton St & Washington Blvd,41.88338,-87.64117
St Louis Ave & Norman Bobbins Ave,41.794422,-87.71137
Hamlin Ave & 62nd Pl,41.779953,-87.7178221
Western Ave & 62nd St,41.780985,-87.6834204
Ashland Ave & McDowell Ave,41.80887,-87.66454
Leamington Ave & Hirsch St,41.9058405,-87.7548602
Kenneth Ave & 50th St,41.8023156,-87.7344142
Western Ave & Lake St,41.884606,-87.685853
Western Ave & Ardmore Ave,41.9867636,-87.6898796
California & 16th St,41.859228,-87.695562
Cottage Grove Ave & 67th St,41.773720952,-87.60563486
Michigan Ave & Lake St,41.886024,-87.624117
Whipple/Irving Park,41.954189,-87.704448
Virginia Ave & Catalpa Ave,41.9812456,-87.7048924
Pulaski Rd & Eddy St (Temp),41.946264,-87.731023
Ashland Ave & Wellington Ave,41.936083,-87.669807
Cottage Grove & 86th St,41.738409,-87.604822
Waller Ave & Chicago Ave,41.894681,-87.768156
Ewing Ave & 106th St,41.70287,-87.535861
Cottage Grove Ave & 111th St,41.692645,-87.609758
Hyde Park Blvd & 55th St,41.795,-87.584113
Pulaski & 52nd,41.797244,-87.723377
Eggleston Ave & 92nd St,41.727575659,-87.634828091
Perry Ave & 108th Pl,41.696967,-87.626143
Lafayette Ave & 95th St,41.721787,-87.624939
Ewing Ave & 105th St,41.704373,-87.53544
Campbell Ave & Irving Park Rd,41.953634,-87.690782
Western Ave & Grace St,41.95039,-87.688234
Damen Ave & Grand Ave,41.892394453,-87.676885128
Ewing Ave & 99th St,41.7159614,-87.5351111
Springfield Ave & 63rd St,41.778582,-87.718925
Marquette Ave & 79th St,41.75163,-87.558707
Hamilton Ave & 95th St,41.720832,-87.676382
Stony Is Ave & 73rd St,41.762265,-87.585469
Western Ave & 79th St,41.750057,-87.682777
Damen Ave & 47th St,41.808884,-87.67513
Hyde Park Blvd & 53rd St,41.799468,-87.584206
Cottage Grove Ave & 98th St,41.716172,-87.60435
Michigan Ave & 113th St,41.688872,-87.620879
Albany Ave & 111th St - NW,41.691669,-87.698507
Clinton St & Polk St,41.871466518,-87.640949133
Ashland Ave & Chicago Ave,41.895172713,-87.667547017
Peoria St & Jackson Blvd,41.877641596,-87.649617791
Rush St & Superior St,41.895764746,-87.625908033
Mies van der Rohe Way & Chicago Ave,41.896944626,-87.621757686
State St & 35th St,41.831036314,-87.626797557
Halsted St & 21st St,41.853779811,-87.646602988
Halsted St & 18th St,41.85750568,-87.645991445
Elizabeth (May) St & Fulton St,41.886616486,-87.658039927
Pine Grove Ave & Waveland Ave,41.949472741,-87.646452785
Wallace St & 35th St,41.830707051,-87.641255334
Franklin St & Adams St (Temp),41.879434091,-87.635504007
Franklin St & Chicago Ave,41.896746973,-87.635667622
Cannon Dr & Fullerton Ave,41.926755988,-87.634428785
California Ave & 21st St,41.853804066,-87.695742399
Loomis St & Archer Ave,41.84163254,-87.657434953
Kedzie Ave & Lake St,41.884603285,-87.706303744
California Ave & Lake St,41.884453957,-87.696298137
Western Ave & Congress Pkwy,41.874748851,-87.686445276
Halsted St & 69th St,41.76906172,-87.644613578
Perry Ave & 69th St,41.76929309,-87.628195929
Ellis Ave & 53rd St,41.799336263,-87.600958115
Ellis Ave & 55th St,41.794300621,-87.601449773
Ellis Ave & 60th St,41.785097146,-87.601072761
Dorchester Ave & 63rd St,41.780405646,-87.591415989
Michigan Ave & Washington St,41.883984065,-87.624683976
Central Park Ave & Ogden Ave,41.854063504,-87.715117335
California Ave & 26th St,41.843679915,-87.694968581
Warren Park East,42.004549622,-87.680666145
Broadway & Granville Ave,41.994779688,-87.660284535
Maplewood Ave & Peterson Ave,41.990236029,-87.69336964
Broadway & Thorndale Ave,41.989742511,-87.660140621
Western & 28th - Velasquez Institute Vaccination Site,41.841517708,-87.685131441
St. Louis Ave & Balmoral Ave,41.980394235,-87.716114961
Lincoln Ave & Winona St,41.974911297,-87.692502559
Drake Ave & Montrose Ave,41.961154076,-87.716569073
Sawyer Ave & Irving Park Rd,41.953586179,-87.7093108
Oakley Ave & Irving Park Rd,41.954340852,-87.686079624
California Ave & Byron St,41.952162193,-87.698051113
Troy St & Elston Ave,41.945243568,-87.706649901
Talman Ave & Addison St,41.946635831,-87.694614758
Central Park Ave & Elbridge Ave,41.935337283,-87.716889294
Humboldt Blvd & Armitage Ave,41.917513394,-87.701808955
Central Park Ave & North Ave,41.909656876,-87.716631952
Troy St & North Ave,41.909769302,-87.705280487
Eastlake Ter & Rogers Ave,42.020887281,-87.665057927
Austin Blvd & Lake St,41.887943794,-87.774273455
Ogden Ave & Chicago Ave,41.896362458,-87.654061273
Damen Ave & 59th St,41.785861065,-87.67414391
Clinton St & Roosevelt Rd,41.867117783,-87.641087959
Kilbourn Ave & Milwaukee Ave,41.947070894,-87.740008235
Dodge Ave & Main St,42.034631852,-87.699187696
Loomis Blvd & 84th St,41.741486529,-87.658410072
Sheffield Ave & Fullerton Ave,41.925601882,-87.653708042
Lincoln Park Conservatory,41.923931311,-87.635824531
Halsted St & 73rd St,41.761605438,-87.644160977
Eberhart Ave & 91st St,41.729285157,-87.611031532
Elizabeth St & 92nd St,41.726798964,-87.654290199
Marquette Ave & 89th St,41.733668791,-87.558342218
Cottage Grove Ave & 111th Pl,41.691709758,-87.610001564
Vernon Ave & 107th St,41.700121379,-87.612259984
Halsted St & 96th St,41.719712184,-87.643019557
Constance Ave & 95th St,41.722290741,-87.578968406
Greenwood Ave & 97th St,41.718703155,-87.597035766
Burnham Greenway & 105th St,41.704575087,-87.52823174
Elizabeth St & 59th St,41.78969688,-87.654697895
Halsted St & 78th St,41.752487012,-87.643902157
Clinton St & Jackson Blvd,41.878316612,-87.640981078
Wentworth Ave & 104th St,41.705307997,-87.629216909
State St & 123rd St,41.670643837,-87.622586489
Torrence Ave & 126th Pl,41.666312008,-87.557215691
Walden Pkwy & 100th St,41.712164104,-87.667733431
Commercial Ave & 130th St,41.659150428,-87.550762296
Hale Ave & 107th St,41.699206168,-87.668918967
Halsted St & 104th St,41.705139789,-87.642424107
Burnham Greenway & 112th St,41.691773851,-87.530431151
Loomis St & 89th St,41.732379753,-87.658069432
