station_name,leiden_community,rent_cluster_x,rent_cluster_y
Marine Dr & Ainslie St,0,1,1
Marquette Ave & 89th St,2,0,0
Meade Ave & Diversey Ave,5,2,0
Menard Ave & Division St,5,0,0
Michigan Ave & 71st St,2,0,0
Michigan Ave & 8th St,1,1,1
Michigan Ave & Jackson Blvd,2,3,1
Michigan Ave & Lake St,1,3,2
Michigan Ave & Oak St,0,3,1
Michigan Ave & Pearson St,1,1,1
Michigan Ave & Washington St,2,3,2
Mies van der Rohe Way & Chicago Ave,0,1,2
Milwaukee Ave & Grand Ave,1,1,1
Morgan St & 18th St,1,1,1
Morgan St & 31st St,1,1,1
Morgan St & Pershing Rd,1,2,0
Narragansett & McLean,5,0,0
Normal Ave & Archer Ave,1,1,2
Oak Park & Wellington,5,0,3
Oakley Ave & Irving Park Rd,0,1,1
Ogden Ave & Chicago Ave,1,1,1
Panama Ave & Grace St,2,0,0
Paulina St & 18th St,1,1,1
Paulina St & Flournoy St,1,0,0
Paulina St & Howard St,0,1,2
Paulina St & Montrose Ave,0,3,1
Peoria St & Jackson Blvd,1,1,1
Perry Ave & 108th Pl,5,0,0
Perry Ave & 69th St,2,0,0
Phillips Ave & 79th St,2,0,3
Pine Grove Ave & Irving Park Rd,0,1,1
Pine Grove Ave & Waveland Ave,0,1,1
Plainfield & Irving Park,2,0,0
Princeton Ave & Garfield Blvd,2,0,0
Pulaski & 52nd,4,0,0
Pulaski Rd & 21st St,5,0,0
Pulaski Rd & Eddy St (Temp),0,2,3
Racine Ave & 109th Pl,5,0,0
Racine Ave & 18th St,1,1,1
Racine Ave & 35th St,2,1,1
Racine Ave & 65th St,2,2,0
Racine Ave & Fullerton Ave,0,1,1
Ritchie Ct & Banks St,0,1,1
Rockwell St & 63rd St,1,2,0
Rush St & Superior St,1,1,2
Sangamon St & Washington Blvd,1,3,1
Sawyer Ave & Irving Park Rd,0,1,3
Sayre & Diversey,5,2,0
Sedgwick St & Schiller St,0,1,3
Sedgwick St & Webster Ave,0,1,1
Seeley Ave & Garfield Blvd,2,0,0
Sheffield Ave & Fullerton Ave,0,1,2
Sheffield Ave & Willow St,0,1,1
Sheffield Ave & Wrightwood Ave,0,1,1
Spaulding Ave & 16th St,1,0,0
St Louis Ave & 59th St,4,2,0
St Louis Ave & Norman Bobbins Ave,4,0,0
St. Louis Ave & Balmoral Ave,0,2,3
St. Louis Ave & Fullerton Ave,0,1,1
State St & 123rd St,5,2,0
State St & 33rd St,2,1,1
State St & 35th St,2,3,1
State St & Kinzie St,1,3,2
Stockton Dr & Wrightwood Ave,0,1,1
Stony Is Ave & 73rd St,2,0,0
Stony Island Ave & 64th St,2,0,3
Talman Ave & Addison St,0,3,2
Torrence Ave & 126th Pl,5,0,0
Tripp Ave & 15th St,5,0,0
Tripp Ave & 31st St,5,2,0
Tripp Ave & 65th St,4,2,0
Troy St & Elston Ave,0,1,1
Troy St & Jackson Blvd,5,2,0
Troy St & North Ave,1,1,1
Union Ave & Root St,2,3,0
University Ave & 57th St,2,3,1
University Library (NU),0,3,1
Valli Produce - Evanston Plaza,0,2,0
Vernon Ave & 107th St,5,2,3
Vernon Ave & 75th St,2,2,0
Vernon Ave & 79th St,3,0,0
Virginia Ave & Catalpa Ave,0,2,3
W 103rd St & S Avers Ave,3,2,0
W Oakdale Ave & N Broadway,0,2,1
W Washington Blvd & N Peoria St,1,2,3
Wabash Ave & 9th St,1,1,1
Walden Pkwy & 100th St,3,0,0
Wallace St & 35th St,2,3,1
Waller Ave & Chicago Ave,5,0,0
Walsh Park,0,1,1
Warren Park East,0,2,1
Warren Park West,0,2,3
Washtenaw Ave & Lawrence Ave,0,1,1
Wentworth Ave & 104th St,3,2,0
Western & 28th - Velasquez Institute Vaccination Site,1,2,0
Western Ave & 21st St,1,2,1
Western Ave & 24th St,1,2,3
Western Ave & 62nd St,1,0,0
Western Ave & 79th St,5,0,0
Western Ave & Ardmore Ave,0,2,1
Western Ave & Congress Pkwy,1,1,1
Western Ave & Division St,1,1,1
Western Ave & Grace St,0,2,0
Western Ave & Lake St,1,0,0
Whipple/Irving Park,0,0,3
Wolcott (Ravenswood) Ave & Montrose Ave,0,1,1
Wood St & 103rd St,3,0,0
Yates Blvd & 75th St,2,2,1
