,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Clinton St & Roosevelt Rd,14,11,2,21,4,1,7,17,24,19,48,59,58,55,73,74,52,100,65,41,24,20,18,11
Clinton St & Tilden St,13,4,4,4,1,4,10,10,32,26,15,11,15,26,23,24,22,28,31,22,26,17,11,10
Clinton St & Washington Blvd,5,0,2,1,1,7,66,148,249,110,74,55,95,92,89,259,409,383,119,56,27,13,8,12
Clybourn Ave & Division St,11,8,7,2,1,2,13,7,28,22,20,25,31,44,52,32,57,78,89,65,56,30,36,9
Colfax Ave & 83rd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Columbus Dr & Randolph St,32,9,8,6,5,7,49,99,127,93,68,70,82,65,112,85,154,187,140,96,67,48,27,46
Commercial Ave & 130th St,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,2,1,3,1,0,0
Commercial Ave & 83rd St,2,0,1,0,0,0,0,0,3,2,0,1,2,0,4,1,4,2,2,4,2,7,0,2
Constance Ave & 95th St,0,0,2,1,0,3,1,0,0,0,0,2,3,0,0,3,1,0,2,1,3,1,2,0
Cornell Ave & Hyde Park Blvd,14,6,4,2,1,3,1,18,18,26,32,36,33,41,69,57,89,99,85,84,62,33,21,16
Cornell Dr & Hayes Dr,0,0,1,0,1,0,0,0,0,1,2,7,1,4,6,2,4,6,1,5,6,1,1,0
Cottage Grove & 86th St,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottage Grove Ave & 111th Pl,0,3,0,0,0,1,0,0,0,1,0,0,1,2,4,3,6,4,1,1,0,0,0,0
Cottage Grove Ave & 111th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Cottage Grove Ave & 43rd St,3,0,0,0,0,0,1,10,1,4,6,0,5,12,11,14,13,26,16,8,7,1,4,0
Cottage Grove Ave & 47th St,0,0,2,0,2,0,3,1,1,5,5,7,11,7,11,14,18,11,13,15,6,9,3,7
Cottage Grove Ave & 67th St,1,4,0,0,1,0,0,0,0,5,0,1,0,1,1,3,1,1,1,1,6,2,2,2
Cottage Grove Ave & 71st St,0,0,0,0,1,0,1,0,1,1,2,6,0,6,2,8,0,1,1,3,0,3,1,0
Cottage Grove Ave & 78th St,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
Cottage Grove Ave & 83rd St,2,0,0,0,0,0,1,1,1,5,0,1,2,0,4,1,3,2,8,1,3,5,1,0
Cottage Grove Ave & 98th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0
Cottage Grove Ave & Oakwood Blvd,1,0,0,0,0,0,2,1,1,3,4,4,5,7,7,17,9,14,7,11,5,10,7,0
